Source	Citation
Starks 2001	"Starks, P. T. (2001, January). Alternative reproductive tactics in the paper wasp Polistes dominulus with specific focus on the sit-and-wait tactic. In Annales Zoologici Fennici (pp. 189-199). Finnish Zoological and Botanical Publishing Board."
Starks and Peters 2002	"Starks, P. T., & Peters, J. M. (2002). Semi-nondestructive genetic sampling from live eusocial wasps, Polistes dominulu and Polistes fuscatu. Insectes Sociaux, 49(1), 20-22."
Starr 1976	"Starr, C. K. (1976). Nest reutilization by Polistes metricus (Hymenoptera: Vespidae) and possible limitation of multiple foundress associations by parasitoids. Journal of the Kansas Entomological Society, 142-144."
Starr 1992	"Starr, C. K. (1992). The social wasps (Hymenoptera: Vespidae) of Taiwan. Bulletin of the National Museum of Natural Science, 3, 93-138."
Strassmann 1981	"Strassmann, J. E. (1981). Evolutionary implications of early male and satellite nest production in Polistes exclamans colony cycles. Behavioral Ecology and Sociobiology, 8(1), 55-64."
Strassmann 1989	"Strassmann, J. (1989). Group colony foundation in Polistes annularis (Hymenoptera: Vespidae). Psyche, 96(3-4), 223-236."
Strassmann et al 2004	"Strassmann, J. E., Fortunato, A., Cervo, R., Turillazzi, S., Damon, J. M., & Queller, D. C. (2004). The cost of queen loss in the social wasp Polistes dominulus (Hymenoptera: Vespidae). Journal of the Kansas Entomological Society, 77(4), 343-355."
Suryanarayanan et al 2011	"Suryanarayanan, S., Hantschel, A. E., Torres, C. G., & Jeanne, R. L. (2011). Changes in the temporal pattern of antennal drumming behavior across the Polistes fuscatus colony cycle (Hymenoptera, Vespidae). Insectes sociaux, 58(1), 97-106."
Suzuki and Ramesh 1991	"Suzuki, T., & Ramesh, M. (1992). Colony founding in the social wasp, Polistes stigma (Hymenoptera Vespidae), in India. Ethology ecology & evolution, 4(4), 333-341."
Tannure-Nascimento et al 2005	"Tannure-Nascimento, I. C., Nascimento, F. S., & Zucchi, R. (2005). Size and colony cycle in Polistes satan, a Neotropical paper wasp (Hymenoptera Vespidae). Ethology Ecology & Evolution, 17(2), 105-119."
Tannure-Nascimento et al 2008	"Tannure-Nascimento, I. C., Nascimento, F. S., & Zucchi, R. (2008). The look of royalty: visual and odour signals of reproductive status in a paper wasp. Proceedings of the Royal Society of London B: Biological Sciences, 275(1651), 2555-2561."
Tartaglia Ciampi 2014	"Tartaglia Ciampi L. 2014. Social wasps: ecological parameters affecting  social parasite prevalence in host populations (Polistes atrimandibularis and P. biglumis, Hymenoptera Vespidae). (Master dissertation) University of Turin, Italy."
Tibbetts and Dale 2004	"Tibbetts, E. A., & Dale, J. (2004). A socially enforced signal of quality in a paper wasp. Nature, 432(7014), 218-222."
Tibbetts and Reeve 2000	"Tibbetts, E. A., & Reeve, H. K. (2000). Aggression and resource sharing among foundresses in the social wasp Polistes dominulus: testing transactional theories of conflict. Behavioral Ecology and Sociobiology, 48(5), 344-352."
Tibbetts and Reeve 2003	"Tibbetts, E. A., & Reeve, H. K. (2003). Benefits of foundress associations in the paper wasp Polistes dominulus: increased productivity and survival, but no assurance of fitness returns. Behavioral Ecology, 14(4), 510-514."
Tindo and Dejean 1998	"Tindo, M., & Dejean, A. (1998). Behavioral profiles related to dominance hierarchy in associated foundresses of Belonogaster juncea juncea (F.)(Hymenoptera: Vespidae). Journal of insect behavior, 11(6), 845-852."
Tindo and Dejean 2000	"Tindo, M., & Dejean, A. (2000). Dominance hierarchy in colonies of Belonogaster juncea juncea (Vespidae, Polistinae). Insectes sociaux, 47(2), 158-163."
Tindo et al 1997	"Tindo, M., D'Agostino, P., Francescato, E., Dejean, A., & Turillazzi, S. (1997). Associative colony foundation in the tropical wasp Belonogaster juncea juncea (Vespidae, Polistinae). Insectes sociaux, 44(4), 365-377."
Tindo et al 2007	"Tindo, M., Kenne, M., Orivel, J., & Dejean, A. (2007). Morphological and physiological correlates of the colony foundation mode and reproductive role differentiation in Belonogaster juncea juncea (Vespidae, Polistinae). Insectes sociaux, 54(2), 154-157."
Tindo et al 2008	"Tindo, M., Kenne, M., & Dejean, A. (2008). Advantages of multiple foundress colonies in Belonogaster juncea juncea L.: greater survival and increased productivity. Ecological entomology, 33(2), 293-297."
Togni 2014	"Togni OC. 2014. Biologia e ecologia comportamental da vespa eussocial primitva Mischocyttarus (Megacanthopus) parallelogrammus (Hymenoptera, Vespidae). Ph.D. thesis, Universidade Estadual Paulista, Rio Claro, São Paulo, Brazil"
Torres et al 2011	"Torres, V. O., Montagna, T. S., Fernandes, W. D., & Antonialli-Junior, W. F. (2011). Colony cycle of the social wasp Mischocyttarus consimilis Zikán (Hymenoptera, Vespidae). Revista Brasileira de Entomologia, 55(2), 247-252."
Turillazzi and Turillazzi 1985	"Turillazzi, S., & Turillazzi, C. M. (1985). Notes on the social behaviour of Ropalidia fasciata (F.) in West Java (Hymenoptera Vespidae). Monitore Zoologico Italiano-Italian Journal of Zoology, 19(4), 219-230."
Uddin and Tsuchida 2012	"Uddin, M.M. & Tsuchida, K. (2012). Colony structure and reproductive sharing among queens in a tropical paper wasp, Polistes olivaceus. Insectes Sociaux, 59, 401–410."
Wenzel 1987	"Wenzel, J. W. (1987). Ropalidia formosa, a nearly solitary paper wasp from Madagascar (Hymenoptera: Vespidae). Journal of the Kansas entomological Society, 549-556."
West 1968	"West, M. J. (1968). Range Extension and Solitary Nest Founding in Polistes exclamans.(Hymenoptera: Vespidae). Psyche, 75(2), 118-123."
West Eberhard 1969	"Eberhard, M. W. (1969). The social biology of polistine wasps. Misc. Pub., Museum of Zoology, Univ. of Mich, 140, 1-101."
Wright et al. 2017	"Wright, C. M., Hyland, T. D., Izzo, A. S., McDermott, D. R., Tibbetts, E. A., & Pruitt, J. N. (2017). Polistes metricus queens exhibit personality variation and behavioral syndromes. Current Zoology, zox008."
Yamane 1985	"Yamane, S. (1985). Social relations among females in pre-and postemergence colonies of a subtropical paper wasp, Parapolybia varia (Hymenoptera: Vespidae). Journal of Ethology, 3(1), 27-38."
Yamane 1986	"Yamane, S. (1986). The colony cycle of the Sumatran paper wasp Ropalidia (Icariola) variegata jacobsoni (Buysson), with reference to the possible occurrence of serial polygyny (Hymenoptera Vespidae). Monitore Zoologico Italiano-Italian Journal of Zoology, 20(2), 135-161."
Yamane and Kawamichi 1975	"Yamane, S., & Kawamichi, T. (1975). Bionomic comparison of Polistes biglumis (Hymenoptera, Vespidae) at two different localities in Hokkaido, northern Japan, with reference to its probable adaptation to cold climate. __, 43(2), 214-232."
Yamane and Okazawa 1977	"Yamane, S. & Okazawa, T. (1977). Some biological observations on a paper wasp, Polistes (Megapolistes) tepidus malayanus Cameron (Hymenoptera, Vespidae) in New Guinea. Kontyu, 45, 283–299."
Yamane et al 1989 	"Yamane, S., Abbas, N.D. & Matsuura, M. (1989). Nest architecture of three species of genus Polistes with biological notes on P. tenebricosus hoplites in Sumatera Barat (Hymenoptera, Vespidae). Bull. Fac. Educ. Univ. Nat. Sci., p69–83"
Yamasaki and Tsuchida 2014	"Yamasaki, K., & Tsuchida, K. (2014). Orphaning does not affect the colony productivity of the primitive eusocial wasp Polistes snelleni. Insectes sociaux, 61(2), 133-140."
Zanette and Field 2011	"Zanette, L. R., & Field, J. (2011). Founders versus joiners: group formation in the paper wasp Polistes dominulus. Animal Behaviour, 82(4), 699-705."
