Source	Citation
Gibo 1978	"Gibo, D. L. (1978). The selective advantage of foundress associations in Polistes fuscatus (Hymenoptera: Vespidae): a field study of the effects of predation on productivity. The Canadian Entomologist, 110(05), 519-540."
Gibo and Metcalf 1978	"Gibo, D. L., & Metcalf, R. A. (1978). Early survival of Polistes apachus (Hymenoptera: Vespidae) colonies in California: a field study of an introduced species. The Canadian Entomologist, 110(12), 1339-1343."
Gobbi et al 2006	"Gobbi, N., Noll, F. B., & Penna, M. A. (2006). “Winter” aggregations, colony cycle, and seasonal phenotypic change in the paper wasp Polistes versicolor in subtropical Brazil. Naturwissenschaften, 93(10), 487-494."
Gorton 1978	"Gorton Jr, R. E. (1978). Observations on the nesting behavior of Mischocyttarus immarginatus (Rich.)(Vespidae: Hymenoptera) in a dry forest in Costa Rica. Insectes Sociaux, 25(3), 197-204."
Grechka and Rusina 1990	"Grechka E.O., Rusina L.Yu. Comparative study of ecology and behaviour of Polistes wasps in Kherson region // Proceedings of Russian Section of IUSSI, Leningrad, 1990. P. 63-68. (In Russian)"
Gunnels 2007	"Gunnels, C. W. (2007). Seasonally variable eusocially selected traits in the paper wasp, Mischocyttarus mexicanus. Ethology, 113(7), 648-660."
Gunnels et al. 2008	"Gunnels, C. W., Dubrovskiy, A., & Avalos, A. (2008). Social interactions as an ecological constraint in a eusocial insect. Animal Behaviour, 75(2), 681-691."
Hagiwara and Kojima 1994	"Hagiwara, Y., & Kojima, J. (1994). Options in construction behavior for Polistes mandarinus Saussure nesting on Japanese cedar twigs (Hymenoptera: Vespidae). Journal of the Kansas Entomological Society, 126-128."
Hagiwara and Kojima 2002	"Hagiwara, Y., & Kojima, J. (2002). Reproductive options for first brood"" workers"" emerging in orphan nests of Polistes nipponensis (Hymenoptera, Vespidae). Insectes sociaux, 49(3), 191-195."
Henshaw et al 2004	"Henshaw, M. T., Robson, S. K., & Crozier, R. H. (2004). Queen number, queen cycling and queen loss: the evolution of complex multiple queen societies in the social wasp genus Ropalidia. Behavioral Ecology and Sociobiology, 55(5), 469-476."
Hermann et al 1975	"Hermann, H. R., Barron, R., & Dalton, L. (1975). Spring behavior of Polistes exclamans (Hymenoptera: Vespidae: Polistinae)[Insects]. Entomological News."
Hirose and Yamasaki 1984	"HIROSE, Y., & YAMASAKI, M. (1984). Foundress association in Polistes jadwigae Dalla Torre (Hymenoptera, Vespidae): relatedness among co-foundresses and colony productivity. __, 52(1), 172-174."
Hocherl and Tautz 2015	"Höcherl, N., & Tautz, J. (2015). Nesting behavior of the paper wasp Polistes dominula in Central Europe—a flexible system for expanding into new areas. Ecosphere, 6(12), 1-11."
Hodges et al 2003	"Hodges, A. C., Hodges, G. S., & Espelie, K. E. (2003). Parasitoids and parasites of Polistes metricus Say (Hymenoptera: Vespidae) in northeast Georgia. Annals of the Entomological Society of America, 96(1), 61-64."
Hoggard et al 2009	"Hoggard, S. J., Beattie, A. J., Gillings, M. R., & Stow, A. J. (2009). Mating system and genetic structure in the paper wasp (Polistes humilis). Australian Journal of Zoology, 57(2), 73-76."
Hoshikawa 1979	"Hoshikawa, T. (1979). Observations on the polygynous nests of Polistes chinensis antennalis Pérez (Hymenoptera: Vespidae) in Japan. __, 47(3), 239-243."
Hughes 1987	"Hughes, C. R. (1987). Group nesting and reproductive conflict in primitively eusocial wasps (Doctoral dissertation, Rice University)."
Hughes et al 2003	"Hughes, D. P., Beani, L., Turillazzi, S., & Kathirithamby, J. (2003). Prevalence of the parasite Strepsiptera in Polistes as detected by dissection of immatures. Insectes Sociaux, 50(1), 62-68."
Hunt and Dove 2002	"Hunt, J. H., & Dove, M. A. (2002). Nourishment affects colony demographics in the paper wasp Polistes metricus. Ecological Entomology, 27(4), 467-474."
Ishikawa et al 2011	"Ishikawa, Y., Yamada, Y. Y., Matsuura, M., Tsukada, M., & Tsuchida, K. (2011). Polistes japonicus (Hymenoptera, Vespidae) queens monopolize ovipositing but are not the most active aggressor in dominant-subordinate interactions. Insectes sociaux, 58(4), 519-529."
Ito 1983	"Itô, Y. (1983). Social behaviour of a subtropical paper wasp, Ropalidia fasciata (F.): Field observations during founding stage. Journal of Ethology, 1(1-2), 1-14."
Ito 1984	"Itô, Y. (1984). Social behaviour and social structure of Neotropical paper wasps Mischocyttarus angulatus Richards and M. basimacula (Cameron). Journal of Ethology, 2(1), 17-29."
Ito 1985	"Itô, Y. (1985). Colony development and social structure in a subtropical paper wasp, Ropalidia fasciata (F.)(Hymenoptera: Vespidae). Researches on population ecology, 27(2), 333-349."
Ito 1986	"Itô, Y. (1986). Observations on the social behaviour of three polistine wasps (Hymenoptera: Vespidae). Australian Journal of Entomology, 25(4), 309-314."
Ito 1986a	"Itô, Y. (1986). Spring behaviour of an Australian paper wasp, Polistes humilis synoecus: colony founding by haplometrosis and utilization of old nests. __, 54(2), 191-202."
Ito 1987	"Itô, Y. (1987). Social behaviour of the Australian paper wasp, Ropalidia revolutionalis (de Saussure)(Hymenoptera: Vespidae). Journal of Ethology, 5(2), 115-124."
Ito and Itioka 2008	"Itô, Y., & Itioka, T. (2008). Demography of the Okinawan eusocial wasp Ropalidia fasciata (Hymenoptera: Vespidae) II. Effects of foundress group size on survival rates of colonies and foundresses, and production of progeny. Entomological science, 11(1), 17-30."
Jeanne 1979	"Jeanne, R. L. (1979). Construction and utilization of multiple combs in Polistes canadensis in relation to the biology of a predaceous moth. Behavioral Ecology and Sociobiology, 4(3), 293-310."
Jeanne and Morgan 1992	"Jeanne, R. L., & Morgan, R. C. (1992). The influence of temperature on nest site choice and reproductive strategy in a temperate zone Polistes wasp. Ecological entomology, 17(2), 135-141."
Judd 1998	"Judd, T. M. (1998). Defensive behavior of colonies of the paper wasp, Polistes fuscatus, against vertebrate predators over the colony cycle. Insectes Sociaux, 45(2), 197-208."
Judd et al 2010	"Judd, T. M., Magnus, R. M., & Fasnacht, M. P. (2010). A nutritional profile of the social wasp Polistes metricus: Differences in nutrient levels between castes and changes within castes during the annual life cycle. Journal of Insect Physiology, 56(1), 42-56."
Kardile and Gadagkar 2005	"Kardile, S. P., & Gadagkar, R. (2005). Observations on the Natural history and behaviour of the primitively eusocial wasp Ropalidia cyathiformis (FAB.)(Hymenoptera: Vespidae). Journal-BOMBAY NATURAL HISTORY SOCIETY, 102(3), 265."
Karsai and Hunt 2002	"Karsai, I., & Hunt, J. H. (2002). Food Quantity AffectTraits of Offspring in the Paper Wasp Polistes metricus (Hymenoptera: Vespidae). Environmental Entomology, 31(1), 99-106."
Kasuya 1981	"Kasuya, E. (1981). Polygyny in the Japanese paper wasp, Polistes jadwigae DALLA TORRE (Hymenoptera, Vespidae). __, 49(2), 306-313."
Keeping 1990	"Keeping, M. G. (1990). Rubbing behavior and morphology of van der Vecht's gland inBelonogaster petiolata (Hymenoptera: Vespidae). Journal of insect Behavior, 3(1), 85-104."
Keeping 1991	"Keeping, M. G. (1991). Nest construction by the social wasp, Belonogaster petiolata (Degeer)(Hymenoptera: Vespidae). Journal of the Entomological Society of Southern Africa, 54(1), 17-28."
Keeping 2000	"Keeping, M. G. (2000). Morpho-physiological variability and differentiation of reproductive roles among foundresses of the primitively eusocial wasp, Belonogaster petiolata (Degeer)(Hymenoptera, Vespidae). Insectes Sociaux, 47(2), 147-154."
Kelstrup et al. 2015	"Kelstrup, H. C., Hartfelder, K., & Wossler, T. C. (2015). Polistes smithii vs. Polistes dominula: the contrasting endocrinology and epicuticular signaling of sympatric paper wasps in the field. Behavioral ecology and sociobiology, 69(12), 2043-2058."
Kelstrup et al. 2017	"Kelstrup, H. C., Hartfelder, K., Esterhuizen, N., & Wossler, T. C. (2017). Juvenile hormone titers, ovarian status and epicuticular hydrocarbons in gynes and workers of the paper wasp Belonogaster longitarsus. Journal of insect physiology, 98, 83-92."
Klahn 1979	"Klahn, J. E. (1979). Philopatric and nonphilopatric foundress associations in the social wasp Polistes fuscatus. Behavioral Ecology and sociobiology, 5(4), 417-424."
Kojima 1989	"Kojima, J. (1989). Growth and survivorship of preemergence colonies of Ropalidia fasciata in relation to foundress group size in the subtropics (Hymenoptera: Vespidae). Insectes sociaux, 36(3), 197-218."
Kudo 2000	"Kudô, K. (2000). Variable investments in nests and worker production by the foundresses of Polistes chinensis (Hymenoptera: Vespidae). Journal of Ethology, 18(1), 37-41."
Layton and Espelie 1995	"Layton, J. M., & Espelie, K. E. (1995). Effects of nest paper hydrocarbons on nest and nestmate recognition in colonies ofPolistes metricus Say. Journal of insect behavior, 8(1), 103-113."
Leadbeater et al 2011	"Leadbeater, E., Carruthers, J. M., Green, J. P., Rosser, N. S., & Field, J. (2011). Nest inheritance is the missing source of direct fitness in a primitively eusocial insect. Science, 333(6044), 874-876."
Liebert 2003	"Liebert, A. E. (2003). Behavioral flexibility throughout the colony cycle of the paper wasp Polistes aurifer. PhD thesis. UCLA."
Liebert and Starks 2006	"Liebert, A. E., & Starks, P. T. (2006). Taming of the skew: transactional models fail to predict reproductive partitioning in the paper wasp Polistes dominulus. Animal behaviour, 71(4), 913-923."
Liebert et al 2005	"Liebert, A. E., Sumana, A., & Starks, P. T. (2005). Diploid males and their triploid offspring in the paper wasp Polistes dominulus. Biology letters, 1(2), 200-203."
Litte 1977	"Litte, M. (1977). Behavioral ecology of the social wasp, Mischocyttarus mexicanus. Behavioral Ecology and Sociobiology, 2(3), 229-246."
Litte 1981	"Litte, M. (1981). Social biology of the polistine wasp Mischocyttarus labiatus: survival in a Colombian rain forest (No. Folleto 7139)."
Loope and Carpenter 2016	"Loope, K. J., & Carpenter, J. M. (2016). Polistes major major and Polistes apachus (Hymenoptera: Vespidae) in Georgia, USA. Florida Entomologist, 99(3), 547-548."
Lorenzi and Cervo 1995	"Lorenzi, M. C., & Cervo, R. (1995). Usurpations and late associations in the solitary founding social wasp, Polistes biglumis bimaculatus (Hymenoptera: Vespidae). Journal of insect behavior, 8(4), 443-451."
Lorenzi and Filippone 2000	"Lorenzi M.C., Filippone F. 2000. Opportunistic discrimination of alien eggs by social wasps (Polistes biglumis, Hymenoptera Vespidae): a defense against social parasitism? Behavioral Ecology and Sociobiology 48: 402-406."
Lorenzi and Ghilardi 1994	"Lorenzi, M. C. and S. Ghilardi, 1994. Experimental conspecific nest usurpation in Polistes biglumis bimaculatus (Hymenoptera, Vespidae). Boll. Zool. Suppl. 61:52."
Lorenzi and Turillazzi 1986	"Lorenzi, M. C., & Turillazzi, S. (1986). Behavioural and ecological adaptations to the high mountain environment of Polistes biglumis bimaculatus. Ecological Entomology, 11(2), 199-204."
Lorenzi et al 1997	"Lorenzi M.C., Bagnères A. G., Clément J.-L., Turillazzi S. 1997. Polistes biglumis bimaculatus epicuticular hydrocarbons and nestmate recognition (Hymenoptera: Vespidae). Insectes Sociaux, 44: 123-138."
Lorenzi et al 2011	"Lorenzi M.C., Cervo R., Bagnères A.-G.. 2011. Facultative social parasites mark host nests with branched hydrocarbons. Animal Behaviour, 82: 1149-1157."
Lorenzi et al 2014	"Lorenzi M.C., Azzani L., Bagnères A.-G. 2014 Evolutionary consequences of deception: Complexity and informational content of colony signature are favored by social parasitism. Current Zoology, 60: 137–148 ."
Makino 1989	"Makino, S. I. (1989). Switching of behavioral option from renesting to nest usurpation after nest loss by the foundress of a paper wasp, Polistes riparius: a field test. Journal of Ethology, 7(1), 62-64."
Makino and Aoki 1982	"Makino, S., & Aoki, S. (1982). Observations on two polygynic colonies of Polistes biglumis in Hokkaido, northern Japan (Hymenoptera, Vespidae). __, 50(2), 175-182."
Makino and Sayama 1991	"Makino, S. I., & Sayama, K. (1991). Comparison of intraspecific nest usurpation between two haplometrotic paper wasp species (Hymenoptera: Vespidae: Polistes). Journal of Ethology, 9(2), 121-128."
Makino et al 1987	"Makino, S. I., Yamane, S., Sunose, T., & Aoki, S. (1987). Dispersion distance of queens from natal sites in the two haplometrotic paper waspsPolistes riparius andP. snelleni (Hymenoptera: Vespidae). Researches on population ecology, 29(1), 111-117."
McNitt et al 1995	"McNitt, L., Espelie, K. E., & Miller, L. K. (1995). Assessing the safety of toxin-producing baculovirus biopesticides to a nontarget predator, the social wasp Polistes metricus Say. Biological Control, 5(2), 267-278."
Metcalf and Whitt 1977	"Metcalf, R. A., & Whitt, G. S. (1977). Relative inclusive fitness in the social wasp Polistes metricus. Behavioral Ecology and Sociobiology, 2(4), 353-360."
Miyano 1980	"Miyano, S. (1980). Life tables of colonies and workers in a paper wasp, Polistes chinensis antennalis, in central Japan (Hymenoptera: Vespidae). Researches on Population Ecology, 22(1), 69-88."
Miyano et al 2010	"Miyano, S., Makino, S. I., & Yamane, S. (2010). Polistes formosanus(Hymenoptera: Vespidae) Produces Males Concurrently with Females in the First Brood on Yoron Island, Southern Japan. Sociobiology, 56(1), 91-108."
Montagna and AntonialIi-Junior 2016	"Montagna, T. S., & Antonialli-Junior, W. F. (2016). Morphological Differences between Reproductive and Non-reproductive Females in the Social Wasp Mischocyttarus consimilis Zikán (Hymenoptera: Vespidae). Sociobiology, 63(1), 693-698."
Nguyen and Kohima 2014	"Nguyen, L.T.P. & Kojima, J. (2014). Distribution and nests of paper wasps of Polistes (Polistella) in northeastern Vietnam, with description of a new species (Hymenoptera, Vespidae, Polistinae). ZooKeys, 45."
